설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자,
본오3동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 용신로 376 (본오동),경기도 안산시 상록구 본오동 873,안산시청,031-481-2300,37.301426,126.863847,2016-05-31,
부곡동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 성호로 326 (부곡동),경기도 안산시 상록구 부곡동 671-4,안산시청,031-481-2300,37.331852,126.861021,2016-05-31,
월피동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 시낭북로 4 (부곡동),경기도 안산시 상록구 부곡동 738,안산시청,031-481-2300,37.333515,126.856595,2016-05-31,
성포동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 충장로 468 (성포동),경기도 안산시 상록구 성포동 585,안산시청,031-481-2300,37.320615,126.849534,2016-05-31,
반월동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 건건로 51 (건건동),경기도 안산시 상록구 건건동 641-2,안산시청,031-481-2300,37.305972,126.902308,2016-05-31,
안산동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 상록구 장하로 315 (수암동),경기도 안산시 상록구 수암동 506,안산시청,031-481-2300,37.361838,126.873270,2016-05-31,
와동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 선부로 273 (와동),경기도 안산시 단원구 와동 280-1,안산시청,031-481-2300,37.341608,126.825653,2016-05-31,
고잔1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 화정천동로 252 (고잔동),경기도 안산시 단원구 고잔동 659-6,안산시청,031-481-2300,37.327175,126.819111,2016-05-31,
고잔2동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 예술대학로 76 (고잔동),경기도 안산시 단원구 고잔동 672-2,안산시청,031-481-2300,37.323944,126.837617,2016-05-31,
호수동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 광덕2로 125 (고잔동),경기도 안산시 단원구 고잔동 712-2,안산시청,031-481-2300,37.310269,126.824390,2016-05-31,
원곡본동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 부부로 55 (원곡동),경기도 안산시 단원구 원곡동 991-3,안산시청,031-481-2300,37.333234,126.790900,2016-05-31,
원곡1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 원선로 31 (원곡동),경기도 안산시 단원구 원곡동 821-1,안산시청,031-481-2300,37.327910,126.796958,2016-05-31,
원곡2동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 원선로 91 (원곡동),경기도 안산시 단원구 원곡동 936-5,안산시청,031-481-2300,37.331555,126.801877,2016-05-31,
선부1동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 선부광장서로 47 (선부동),경기도 안산시 단원구 선부동 964-4,안산시청,031-481-2300,37.334306,126.804456,2016-05-31,
선부2동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 지곡로 46 (선부동),경기도 안산시 단원구 선부동 997-2,안산시청,031-481-2300,37.338527,126.802707,2016-05-31,
선부3동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 선삼로 47 (선부동),경기도 안산시 단원구 선부동 1135,안산시청,031-481-2300,37.344951,126.812649,2016-05-31,
대부동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 대부중앙로 97-9 (대부북동),경기도 안산시 단원구 대부북동 467,안산시청,031-481-2300,37.243536,126.585092,2016-05-31,
상록수보건소,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 차돌배기로1길 5 (사동),경기도 안산시 상록구 사동 1584,안산시청,031-481-2300,37.300555,126.844525,2016-05-31,
외국인주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 단원구 부부로 43 (원곡동),경기도 안산시 단원구 원곡동 991-1,안산시청,031-481-2300,37.332137,126.790140,2016-05-31,
차량등록사업소,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 단원구 선부광장1로 6 (선부동),경기도 안산시 단원구 선부동 1070-10,안산시청,031-481-2300,37.334973,126.807176,2016-05-31,
최용신기념관,"전시관, 로비",경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 샘골서길 64 (본오동),경기도 안산시 상록구 본오동 879-4,안산시청,031-481-2300,37.299604,126.862510,2016-05-31,
성호기념관,"전시관, 로비",경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 성호로 131 (이동),경기도 안산시 상록구 이동 615,안산시청,031-481-2300,37.314345,126.859907,2016-05-31,
갈대습지공원,"전시관, 로비",경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 해안로 820-116(사동),경기도 안산시 상록구 사동 1031-8,안산시청,031-481-2300,37.276838,126.837926,2016-05-31,
안산식물원,식물원,경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 성호로 113 (이동),경기도 안산시 상록구 이동 615,안산시청,031-481-2300,37.314345,126.859907,2016-05-31,
여성정보하우스,"로비, 입구",경기도,안산시,관공서,안산시,Public_WiFi,2016-05,경기도 안산시 상록구 예술광장1로 32 (월피동),경기도 안산시 상록구 월피동 445-13,안산시청,031-481-2300,37.329635,126.845883,2016-05-31,
초지동주민센터,민원실,경기도,안산시,관공서,안산시,Public_WiFi,2015-11,경기도 안산시 단원구 초지동로 67 (초지동),경기도 안산시 단원구 초지동 728-1,안산시청,031-481-2300,37.309933,126.816824,2016-05-31,
대천5동 주민센터,동사무소 주민센터,충청남도,보령시,관공서,SKT,,2014-12,충청남도 보령시 대천항로 204,충청남도 보령시 신흑동 산221-19,충청남도 보령시,041-930-4000,36.3172002,126.514525,2016-08-08,
보령시 현대시장,시장상가 내,충청남도,보령시,기타,LG U+,,2014-12,충청남도 보령시 대흥로 16,충청남도 보령시 동대동 618-69,충청남도 보령시,041-930-4000,36.3492674,126.596682,2016-08-08,
미산 보건지소,보건지소 내,충청남도,보령시,관공서,LG U+,,2014-12,충청남도 보령시 내평봉성길 5,충청남도 보령시 미산면 내평리 350-1,충청남도 보령시,041-930-4000,36.2406910,126.681069,2016-08-08,
보령시 보건소,보건소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 남포면 보령남로 234,충청남도 보령시 남포면 봉덕리 39-1,충청남도 보령시,041-930-4000,36.3245106,126.602370,2016-08-08,
남포면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 남포면 충서로 1839-20,충청남도 보령시 남포면 옥서리 326-1,충청남도 보령시,041-930-4000,36.3046178,126.605036,2016-08-08,
보령시 중앙시장,대광상회,충청남도,보령시,기타,KT,,2015-01,충청남도 보령시 중앙시장2길 18,충청남도 보령시 대천동 331-7,충청남도 보령시,041-930-4000,36.3507129,126.590526,2016-08-08,
보령시 중앙시장,중앙커텐,충청남도,보령시,기타,KT,,2015-01,충청남도 보령시 중앙시장1길 24,충청남도 보령시 대천동 331-7,충청남도 보령시,041-930-4000,36.3509053,126.593042,2016-08-08,
보령시 동부시장,동부시장 중앙,충청남도,보령시,기타,KT,,2015-01,충청남도 보령시 한내시장길 16,충청남도 보령시 대천동 196-15,충청남도 보령시,041-930-4000,36.3500723,126.595074,2016-08-08,
보령시 한내시장,한내시장 중앙,충청남도,보령시,기타,KT,,2015-01,충청남도 보령시 한내시장길 12,충청남도 보령시 대천동 195-2,충청남도 보령시,041-930-4000,36.3498344,126.595053,2016-08-08,
대천3동 주민센터,동사무소 주민센터,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 대청로 167,충청남도 보령시 동대동 290-5,충청남도 보령시,041-930-4000,36.3561064,126.611305,2016-08-08,
보령시 정보화교육장,정보화교육장 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 성주산로 77,충청남도 보령시 명천동 269-4,충청남도 보령시,041-930-4000,36.3328115,126.611305,2016-08-08,
대천4동 주민센터,동사무소 주민센터,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 보령남로 49,충청남도 보령시 명천동 442-16,충청남도 보령시,041-930-4000,36.3404961,126.600867,2016-08-08,
미산면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 미산면 내평봉성길 5,충청남도 보령시 미산면 내평리 350-1,충청남도 보령시,041-930-4000,36.2106148,126.676453,2016-08-08,
미산면 주민자치센터,주민자치센터 중앙,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 미산면 내평봉성길 7,충청남도 보령시 미산면 내평리 355-1,충청남도 보령시,041-930-4000,36.2106700,126.676898,2016-08-08,
미산면 효나눔복지센터,복지센터 로비,충청남도,보령시,서민·복지시설,KT,,2015-01,충청남도 보령시 미산면 판미로 1471,충청남도 보령시 미산면 풍계리 283-6,충청남도 보령시,041-930-4000,36.2903418,126.675278,2016-08-08,
성주면 주민센터,면사무소 주민센터,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 성주면 심원계곡로 6-7,충청남도 보령시 성주면 성주리 191-1,충청남도 보령시,041-930-4000,36.3360941,126.651368,2016-08-08,
성주면 보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 성주면 심원계곡로 6-15,충청남도 보령시 성주면 성주리 191-4,충청남도 보령시,041-930-4000,36.3355639,126.651237,2016-08-08,
오천면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 오천면 충청수영로 826,충청남도 보령시 오천면 소성리 665-2,충청남도 보령시,041-930-4000,36.4383921,126.522412,2016-08-08,
오천보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 오천면 충청수영로 838,충청남도 보령시 오천면 소성리 691-55,충청남도 보령시,041-930-4000,36.4387325,126.521884,2016-08-08,
웅천읍사무소,읍사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 웅천읍 장터중앙길 88,충청남도 보령시 웅천읍 대창리 428-2,충청남도 보령시,041-930-4000,36.2319887,126.601557,2016-08-08,
웅천보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 웅천읍 충서로 939-4,충청남도 보령시 웅천읍 대창리 883-11,충청남도 보령시,041-930-4000,36.2345179,126.596868,2016-08-08,
주교보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주교면 울계큰길 374,충청남도 보령시 주교면 주교리 217-1,충청남도 보령시,041-930-4000,36.3896427,126.569795,2016-08-08,
주교면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주교면 울계큰길 396,충청남도 보령시 주교면 주교리 92-2,충청남도 보령시,041-930-4000,36.3908484,126.569271,2016-08-08,
주교면 주민자치센터,주민자치센터 중앙,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주교면 울계큰길 396,충청남도 보령시 주교면 주교리 92-2,충청남도 보령시,041-930-4000,36.3908484,126.569271,2016-08-08,
주산보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주산면 충서로 389-6,충청남도 보령시 주산면 야룡리 181-1,충청남도 보령시,041-930-4000,36.1983589,126.631699,2016-08-08,
주포보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주포면 질재로 47-10,충청남도 보령시 주포면 보령리 425-2,충청남도 보령시,041-930-4000,36.4151016,126.587958,2016-08-08,
주포면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 주포면 질재로 47-10,충청남도 보령시 주포면 보령리 425-2,충청남도 보령시,041-930-4000,36.4151016,126.587958,2016-08-08,
천북보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 천북면 홍보로 462,충청남도 보령시 천북면 하만리 130-16,충청남도 보령시,041-930-4000,36.4787472,126.527280,2016-08-08,
천북면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 천북면 홍보로 462,충청남도 보령시 천북면 하만리 130-16,충청남도 보령시,041-930-4000,36.4787472,126.527280,2016-08-08,
청라보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 청라면 원모루길 222-14,충청남도 보령시 청라면 나원리 905,충청남도 보령시,041-930-4000,36.3894076,126.673026,2016-08-08,
청라면사무소,면사무소 로비,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 청라면 원모루길 223,충청남도 보령시 청라면 나원리 928-7,충청남도 보령시,041-930-4000,36.3904581,126.673601,2016-08-08,
청소보건지소,보건지소 내,충청남도,보령시,관공서,KT,,2015-01,충청남도 보령시 청소면 평촌3길 27,충청남도 보령시 청소면 진죽리 353-11,충청남도 보령시,041-930-4000,36.4472671,126.590398,2016-08-08,
대천항수산시장,수산시장 입구 외,충청남도,보령시,기타,KT,,2015-11,충청남도 보령시 대천항로 334,충청남도 보령시 신흑동 2240-6,충청남도 보령시,041-930-4000,36.3264735,126.508832,2016-08-08,
무창포 수산물시장,수산물시장 입구 외,충청남도,보령시,기타,KT,,2015-11,충청남도 보령시 열린바다2길 46,충청남도 보령시 웅천읍 관당리 888-57,충청남도 보령시,041-930-4000,36.2485417,126.536795,2016-08-08,
시립노인전문병원,병원 로비,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 질재로 373,충청남도 보령시 청라면 장산리 828-2,충청남도 보령시,041-930-4000,36.4061364,126.609290,2016-08-08,
종합사회복지관,사회복지관 로비,충청남도,보령시,서민·복지시설,KT,,2015-11,충청남도 보령시 천변북길 121,충청남도 보령시 보령시 대천동 618-9,충청남도 보령시,041-930-4000,36.3512490,126.600892,2016-08-08,
보령아람지역센터,지역센터 내,충청남도,보령시,서민·복지시설,KT,,2015-11,충청남도 보령시 한내로터리길 92,충청남도 보령시 동대동 1966,충청남도 보령시,041-930-4000,36.3473652,126.611366,2016-08-08,
보령종합터미널,터미널 로비,충청남도,보령시,교통시설,KT,,2015-11,충청남도 보령시 터미널길 8,충청남도 보령시 궁촌동 347,충청남도 보령시,041-930-4000,36.3424913,126.589678,2016-08-08,
봉성보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 미산면 봉성길 131,충청남도 보령시 미산면 봉성리 429-1,충청남도 보령시,041-930-4000,36.2386694,126.693723,2016-08-08,
비젼스쿨 지역아동센터,아동센터 내,충청남도,보령시,서민·복지시설,KT,,2015-11,충청남도 보령시 보령남로 40,충청남도 보령시 명천동 443-19,충청남도 보령시,041-930-4000,36.3413973,126.599780,2016-08-08,
삼현보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 남포면 삼현2길 18-16,충청남도 보령시 남포면 삼현리 426-2,충청남도 보령시,041-930-4000,36.3116301,126.549300,2016-08-08,
수곡보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 주산면 대창증산로 620,충청남도 보령시 주산면 증산리 96-9,충청남도 보령시,041-930-4000,36.1811297,126.593273,2016-08-08,
양기보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 남포면 방목길 17,충청남도 보령시 남포면 양기리 622-10,충청남도 보령시,041-930-4000,36.2768422,126.567196,2016-08-08,
오천면 원산도출장소,출장소 로비,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 원산도3길 376,충청남도 보령시 오천면 원산도리 629-4,충청남도 보령시,041-930-4000,36.3802397,126.432118,2016-08-08,
장은보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 천북면 홍보로 751-2,충청남도 보령시 천북면 장은리 347,충청남도 보령시,041-930-4000,36.5028216,126.518976,2016-08-08,
장현보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 청라면 오서산길 44,충청남도 보령시 청라면 장현리 811-3,충청남도 보령시,041-930-4000,36.4205163,126.662793,2016-08-08,
정심요양원,요양원 중앙,충청남도,보령시,서민·복지시설,KT,,2015-11,충청남도 보령시 주교면 보령북로 404,충청남도 보령시 주교면 관창리 402-7,충청남도 보령시,041-930-4000,36.3752004,126.583475,2016-08-08,
주산면사무소 민원실,면사무소 로비,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 충서로 389-6,충청남도 보령시 주산면 야룡리 181-2,충청남도 보령시,041-930-4000,36.1983589,126.631699,2016-08-08,
황교보건진료소,진료소 내,충청남도,보령시,관공서,KT,,2015-11,충청남도 보령시 웅천읍 독산로 550-8,충청남도 보령시 웅천읍 황교리 580-2,충청남도 보령시,041-930-4000,36.2236603,126.550334,2016-08-08,
선촌여객터미널 옆,여객터미널 옆,충청남도,보령시,교통시설,KT,,2015-11,충청남도 보령시 오천면 원산도리 474-8,충청남도 보령시 오천면 원산도리 474-8,충청남도 보령시,041-930-4000,36.3833525,126.433290,2016-08-08,
대천2동 민원실,동사무소 로비,충청남도,보령시,관공서,LG U+,,2015-11,충청남도 보령시 중앙로 142-16,충청남도 보령시 대천동 408-7,충청남도 보령시,041-930-4000,36.3534103,126.589781,2016-08-08,
대천애육원,애육원 내,충청남도,보령시,서민·복지시설,LG U+,,2015-11,충청남도 보령시 마루뜰길 36,충청남도 보령시 신흑동 647-2,충청남도 보령시,041-930-4000,36.3192306,126.523719,2016-08-08,
농업기술센터 교육관,교육관 내,충청남도,보령시,관공서,LG U+,,2015-11,충청남도 보령시 주포면 충서로 3220,충청남도 보령시 주포면 관산리 432,충청남도 보령시,041-930-4000,36.3970270,126.571342,2016-08-08,
명천종합사회복지관,복지관 내,충청남도,보령시,서민·복지시설,LG U+,,2015-11,충청남도 보령시 주공로 50,충청남도 보령시 명천동 413,충청남도 보령시,041-930-4000,36.3425521,126.603428,2016-08-08,
청소년문화의집,문화의집 로비,충청남도,보령시,서민·복지시설,LG U+,,2015-11,충청남도 보령시 문화원길 9,충청남도 보령시 동대동 983-9,충청남도 보령시,041-930-4000,36.3505615,126.600098,2016-08-08,
청소년수련관,수련관 로비,충청남도,보령시,서민·복지시설,LG U+,,2015-11,충청남도 보령시 성주면 성주산로 500,충청남도 보령시 주면 성주리 229-7,충청남도 보령시,041-930-4000,36.3266555,126.650867,2016-08-08,
수도사업소,수도사업소 내,충청남도,보령시,관공서,LG U+,,2015-11,충청남도 보령시 대천로 35,충청남도 보령시 대천동 170-1,충청남도 보령시,041-930-4000,36.3519472,126.597337,2016-08-08,
오천면어항출장소,어항출장소 내,충청남도,보령시,관공서,LG U+,,2015-11,충청남도 보령시 대천항중앙길 42,충청남도 보령시 신흑동 2240-3,충청남도 보령시,041-930-4000,36.3273042,126.509232,2016-08-08,
한내시장2,한내시장 입구,충청남도,보령시,기타,LG U+,,2015-11,충청남도 보령시 대천로 5-1,충청남도 보령시 대천동 201-7,충청남도 보령시,041-930-4000,36.3494094,126.596250,2016-08-08,
충남정심원,정심원 내부,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 주교면 보령북로 404,충청남도 보령시 주교면 관창리 402-7,충청남도 보령시,041-930-4000,36.3764278,126.585028,2016-08-08,
청소면사무소,면사무소 내,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 청소면 청소큰길 167,충청남도 보령시 청소면 진죽리 372-6,충청남도 보령시,041-930-4000,36.4454510,126.589538,2016-08-08,
대천1동 민원실,동사무소 내,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 대천로 35,충청남도 보령시 대천동 170-1,충청남도 보령시,041-930-4000,36.3518851,126.597084,2016-08-08,
노인종합복지관,종합복지관 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 대천로 113,충청남도 보령시 죽정동 703-1,충청남도 보령시,041-930-4000,36.3562381,126.604187,2016-08-08,
지역자활센터,자활센터 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 원동1길 95,충청남도 보령시 동대동 771-3,충청남도 보령시,041-930-4000,36.3503386,126.600287,2016-08-08,
지역아동센터,아동센터 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 천변남길 316,충청남도 보령시 동대동 739-35,충청남도 보령시,041-930-4000,36.3522671,126.603516,2016-08-08,
성주지역아동센터,아동센터 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 성주면 청성로 431,충청남도 보령시 성주면 성주리 265-217,충청남도 보령시,041-930-4000,36.3467402,126.659328,2016-08-08,
성주면 주민자치센터,자치센터 내,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 성주면 화장골길 110-15,충청남도 보령시 성주면 성주리 219,충청남도 보령시,041-930-4000,36.3305279,126.651184,2016-08-08,
이야기마을,이야기마을 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 웅천읍 부당길 63-43,충청남도 보령시 웅천읍 수부리 697-1,충청남도 보령시,041-930-4000,36.2695398,126.616008,2016-08-08,
청라면 주민자치센터,주민자치센터 중앙,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 청라면 원모루길 225,충청남도 보령시 청라면 나원리 927-3,충청남도 보령시,041-930-4000,36.3904982,126.673757,2016-08-08,
교성보건진료소,진료소 내,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 오천면 오천중앙로 276,충청남도 보령시 오천면 교성리 847-4,충청남도 보령시,041-930-4000,36.4211942,126.539801,2016-08-08,
학성보건진료소,진료소 내,충청남도,보령시,관공서,SKT,,2015-11,충청남도 보령시 천북면 학성염전길 13,충청남도 보령시 천북면 학성리 520-51,충청남도 보령시,041-930-4000,36.4562943,126.498202,2016-08-08,
소화데레사의집,시설 내,충청남도,보령시,서민·복지시설,SKT,,2015-11,충청남도 보령시 대량비선재길 65-69,충청남도 보령시 신흑동 705-1,충청남도 보령시,041-930-4000,36.3168141,126.528838,2016-08-08,
오천여객선터미널,여객선터미널 내,충청남도,보령시,교통시설,SKT,,2015-11,,충청남도 보령시 오천면 소성리 700-86,충청남도 보령시,041-930-4000,36.4390774,126.519807,2016-08-08,
대천항 활어판매장,판매장 입구 야외,충청남도,보령시,기타,SKT,,2015-11,충청남도 보령시 대천항로 396,충청남도 보령시 신흑동 950-86,충청남도 보령시,041-930-4000,36.3284947,126.505086,2016-08-08,
중앙도서관,중앙도서관,충청남도,보령시,서민·복지시설,KT,Public WiFi Free,,충청남도 보령시 천변북길 121,,충청남도 보령시,041-930-3543,36.3513478,126.600938,2016-08-16,
죽정도서관,죽정도서관,충청남도,보령시,서민·복지시설,KT,Boryeong_wifi_free,2016-07,충청남도 보령시 체육관길 17,,충청남도 보령시,041-930-3128,36.3577570,126.608565,2016-08-16,
동탄3동 주민센터,민원실,경기도,화성시,관공서,"SKT, KT",,,경기도 화성시 동탄지성로 151,경기도 화성시 능동 1119,동탄3동 주민센터,031-369-4070,37.20988853,127.0586455,2016-09-20,
발안시장,여우야,경기도,화성시,전통시장,화성시,Public WiFi Free,201512,경기도 화성시 향남읍 평2길 21,경기도 화성시 향남읍 평리 109-18,화성시,031-369-2308,37.13208568,126.9081248,2016-09-20,
사강시장,신협,경기도,화성시,전통시장,화성시,Public WiFi Free,201512,경기도 화성시 송산면 송산포도로 95,경기도 화성시 송산면 사강리 639-8번지,화성시,031-369-2308,37.21371479,126.7382567,2016-09-20,
송산면주민센터,경기도 화성시 송산면 매봉산길 12,경기도,화성시,관공서,SKT,t wifi zon,201501,경기도 화성시 송산면 매봉산길 12,경기도 화성시 송산면 삼존리 203-5,송산면주민센터,031-369-3764,37.21777104,126.7389749,2016-09-20,
우리꽃식물원,식물원,경기도,화성시,지역문화시설,화성시,Public WiFi Free,201512,경기도 화성시 팔탄면 버들로 1613,경기도 화성시 팔탄면 매곡리 172-9번지,화성시,031-369-2308,37.11433582,126.8796364,2016-09-20,
조암시장,조암안경,경기도,화성시,전통시장,화성시,Public WiFi Free,201512,경기도 화성시 우정읍 3.1만세로 41,경기도 화성시 우정읍 조암리 340-12번지,화성시,031-369-2308,37.08220239,126.8161686,2016-09-20,
조암시장,화성통신,경기도,화성시,전통시장,화성시,Public WiFi Free,201512,경기도 화성시 우정읍 3.1만세로 41,경기도 화성시 우정읍 조암리 350-34번지,화성시,031-369-2308,37.08278132,126.8176068,2016-09-20,
기배동 주민센터,민원실,경기도,화성시,관공서,SKT,t wifi zon,201503,경기도 화성시 기안남로 62,경기도 화성시 기안동 457-21,기배동 주민센터,031-369-4584,37.22429881,126.9846737,2016-09-20,
기배동 주민센터,민원실,경기도,화성시,관공서,KT,ollehwifi,201107,경기도 화성시 기안남로 62,경기도 화성시 기안동 457-21,기배동 주민센터,031-369-4584,37.22429881,126.9846737,2016-09-20,
