cusID,chennel,useCnt
01434,B_MOBILE/APP,2
01435,B_MOBILE/APP,1
01437,B_MOBILE/APP,5
01440,B_MOBILE/APP,30
01448,B_MOBILE/APP,3
01452,B_MOBILE/APP,32
01477,B_MOBILE/APP,13
01480,B_MOBILE/APP,25
01493,B_MOBILE/APP,20
01498,A_MOBILE/APP,2
01507,B_MOBILE/APP,8
01509,B_MOBILE/APP,7
01512,A_MOBILE/APP,67
01516,A_MOBILE/APP,2
01519,A_MOBILE/APP,1
01520,B_MOBILE/APP,6
01533,B_MOBILE/APP,7
01544,B_MOBILE/APP,6
01548,A_MOBILE/APP,18
01551,B_MOBILE/APP,19
01553,B_MOBILE/APP,17
01555,B_MOBILE/APP,1
01559,B_MOBILE/APP,6
01565,B_MOBILE/APP,5
01572,B_MOBILE/APP,28
01579,A_MOBILE/APP,52
01583,B_MOBILE/APP,21
01590,B_MOBILE/APP,57
01591,B_MOBILE/APP,17
01593,B_MOBILE/APP,25
01596,A_MOBILE/APP,5
01597,B_MOBILE/APP,21
01599,A_MOBILE/APP,4
01602,A_MOBILE/APP,3
01618,A_MOBILE/APP,1
01620,B_MOBILE/APP,1
01625,B_MOBILE/APP,1
01627,B_MOBILE/APP,5
01638,A_MOBILE/APP,1
01638,B_MOBILE/APP,1
01643,B_MOBILE/APP,45
01644,B_MOBILE/APP,1
01648,B_MOBILE/APP,16
01665,B_MOBILE/APP,22
01668,A_MOBILE/APP,1
01673,A_MOBILE/APP,1
01675,A_MOBILE/APP,1
01676,B_MOBILE/APP,9
01677,B_MOBILE/APP,6
01680,B_MOBILE/APP,6
01683,B_MOBILE/APP,12
01688,A_MOBILE/APP,18
01688,B_MOBILE/APP,7
01689,B_MOBILE/APP,3
01690,B_MOBILE/APP,28
01697,B_MOBILE/APP,2
01700,B_MOBILE/APP,37
01701,B_MOBILE/APP,10
01706,B_MOBILE/APP,6
01707,B_MOBILE/APP,8
01710,B_MOBILE/APP,35
01711,B_MOBILE/APP,30
01720,B_MOBILE/APP,21
01723,A_MOBILE/APP,1
01730,A_MOBILE/APP,1
01731,A_MOBILE/APP,3
01732,A_MOBILE/APP,1
01732,B_MOBILE/APP,1
01734,B_MOBILE/APP,49
01735,B_MOBILE/APP,24
01736,B_MOBILE/APP,14
01740,B_MOBILE/APP,5
01742,B_MOBILE/APP,3
01746,B_MOBILE/APP,7
01747,A_MOBILE/APP,1
01750,B_MOBILE/APP,10
01752,B_MOBILE/APP,89
01757,B_MOBILE/APP,40
01765,B_MOBILE/APP,41
01766,A_MOBILE/APP,2
01772,B_MOBILE/APP,8
01785,A_MOBILE/APP,1
01790,B_MOBILE/APP,37
01792,A_MOBILE/APP,21
01794,B_MOBILE/APP,2
01794,D_MOBILE/APP,1
01797,B_MOBILE/APP,13
01801,B_MOBILE/APP,8
01802,B_MOBILE/APP,12
01803,A_MOBILE/APP,14
01806,B_MOBILE/APP,30
01807,B_MOBILE/APP,41
01808,A_MOBILE/APP,8
01812,A_MOBILE/APP,3
01819,B_MOBILE/APP,32
01822,B_MOBILE/APP,13
01823,A_MOBILE/APP,1
01827,B_MOBILE/APP,3
01835,B_MOBILE/APP,16
01842,B_MOBILE/APP,26
01848,B_MOBILE/APP,1
01851,B_MOBILE/APP,6
01856,B_MOBILE/APP,16
01871,A_MOBILE/APP,1
01871,B_MOBILE/APP,2
01875,B_MOBILE/APP,4
01876,B_MOBILE/APP,13
01877,B_MOBILE/APP,20
01882,B_MOBILE/APP,21
01883,B_MOBILE/APP,5
01885,A_MOBILE/APP,3
01887,B_MOBILE/APP,10
01893,B_MOBILE/APP,25
01897,B_MOBILE/APP,1
01899,B_MOBILE/APP,2
01905,B_MOBILE/APP,4
01906,B_MOBILE/APP,7
01907,A_MOBILE/APP,8
01908,B_MOBILE/APP,27
01909,B_MOBILE/APP,17
01910,B_MOBILE/APP,18
01913,A_MOBILE/APP,6
01914,B_MOBILE/APP,7
01918,B_MOBILE/APP,5
01932,A_MOBILE/APP,1
01940,B_MOBILE/APP,14
01943,A_MOBILE/APP,44
01946,B_MOBILE/APP,14
01947,B_MOBILE/APP,51
01950,B_MOBILE/APP,41
01951,B_MOBILE/APP,14
01958,B_MOBILE/APP,23
01959,B_MOBILE/APP,2
01960,B_MOBILE/APP,10
01961,B_MOBILE/APP,11
01964,B_MOBILE/APP,51
01966,B_MOBILE/APP,2
01976,A_MOBILE/APP,1
01977,B_MOBILE/APP,39
01979,A_MOBILE/APP,31
01982,B_MOBILE/APP,10
01985,A_MOBILE/APP,2
01987,B_MOBILE/APP,5
01992,A_MOBILE/APP,4
01994,B_MOBILE/APP,7
02002,A_MOBILE/APP,6
02002,B_MOBILE/APP,58
02005,B_MOBILE/APP,43
02009,B_MOBILE/APP,5
02011,B_MOBILE/APP,45
02015,B_MOBILE/APP,2
02018,B_MOBILE/APP,4
02022,B_MOBILE/APP,19
02028,B_MOBILE/APP,3
02030,B_MOBILE/APP,50
02031,B_MOBILE/APP,53
02032,B_MOBILE/APP,32
02033,B_MOBILE/APP,4
02034,B_MOBILE/APP,15
02039,B_MOBILE/APP,1
02041,B_MOBILE/APP,26
02043,B_MOBILE/APP,7
02048,B_MOBILE/APP,12
02049,A_MOBILE/APP,16
02057,B_MOBILE/APP,1
02067,B_MOBILE/APP,2
02071,A_MOBILE/APP,1
02072,B_MOBILE/APP,15
02075,B_MOBILE/APP,42
02077,B_MOBILE/APP,6
02078,B_MOBILE/APP,25
02079,B_MOBILE/APP,8
02080,B_MOBILE/APP,2
02081,B_MOBILE/APP,30
02083,B_MOBILE/APP,11
02088,B_MOBILE/APP,13
02093,B_MOBILE/APP,16
02101,B_MOBILE/APP,9
02103,B_MOBILE/APP,8
02104,B_MOBILE/APP,5
02109,A_MOBILE/APP,6
02117,B_MOBILE/APP,24
02119,A_MOBILE/APP,30
02125,B_MOBILE/APP,3
02134,B_MOBILE/APP,16
02136,A_MOBILE/APP,1
02136,B_MOBILE/APP,1
02139,A_MOBILE/APP,7
02139,B_MOBILE/APP,13
02141,B_MOBILE/APP,14
02142,B_MOBILE/APP,8
02144,A_MOBILE/APP,13
02144,B_MOBILE/APP,2
02148,B_MOBILE/APP,22
02149,B_MOBILE/APP,5
02151,B_MOBILE/APP,66
02152,A_MOBILE/APP,4
02153,B_MOBILE/APP,9
02154,A_MOBILE/APP,2
02154,B_MOBILE/APP,37
02160,B_MOBILE/APP,1
02164,B_MOBILE/APP,2
02166,B_MOBILE/APP,53
02167,B_MOBILE/APP,51
02174,B_MOBILE/APP,20
02175,B_MOBILE/APP,21
02181,B_MOBILE/APP,7
02182,B_MOBILE/APP,3
02185,A_MOBILE/APP,26
02187,A_MOBILE/APP,1
02190,B_MOBILE/APP,3
02196,B_MOBILE/APP,10
02201,B_MOBILE/APP,7
02204,B_MOBILE/APP,17
02209,B_MOBILE/APP,1
02211,B_MOBILE/APP,10
02214,B_MOBILE/APP,45
02222,B_MOBILE/APP,57
02224,A_MOBILE/APP,56
02229,A_MOBILE/APP,6
02230,B_MOBILE/APP,1
02241,B_MOBILE/APP,15
02251,B_MOBILE/APP,19
02253,B_MOBILE/APP,2
02255,B_MOBILE/APP,3
02257,B_MOBILE/APP,2
02264,B_MOBILE/APP,15
02268,B_MOBILE/APP,1
02277,B_MOBILE/APP,24
02279,B_MOBILE/APP,2
02283,B_MOBILE/APP,5
02285,B_MOBILE/APP,93
02286,B_MOBILE/APP,1
02291,B_MOBILE/APP,4
02293,A_MOBILE/APP,35
02294,B_MOBILE/APP,4
02298,B_MOBILE/APP,3
02299,B_MOBILE/APP,58
02303,B_MOBILE/APP,5
02304,B_MOBILE/APP,6
02308,B_MOBILE/APP,15
02309,A_MOBILE/APP,2
02309,B_MOBILE/APP,8
02314,A_MOBILE/APP,17
02316,B_MOBILE/APP,41
02317,B_MOBILE/APP,5
02321,B_MOBILE/APP,22
02322,B_MOBILE/APP,58
02325,B_MOBILE/APP,12
02327,A_MOBILE/APP,4
02330,B_MOBILE/APP,1
02343,B_MOBILE/APP,43
02351,B_MOBILE/APP,25
02352,B_MOBILE/APP,5
02353,B_MOBILE/APP,10
02359,B_MOBILE/APP,25
02367,B_MOBILE/APP,41
02370,B_MOBILE/APP,11
02371,B_MOBILE/APP,9
02379,B_MOBILE/APP,6
02381,B_MOBILE/APP,13
02382,B_MOBILE/APP,23
02383,A_MOBILE/APP,13
02399,B_MOBILE/APP,11
02403,B_MOBILE/APP,5
02406,B_MOBILE/APP,27
02408,B_MOBILE/APP,33
02414,B_MOBILE/APP,43
02416,A_MOBILE/APP,10
02422,A_MOBILE/APP,2
02423,A_MOBILE/APP,1
02437,B_MOBILE/APP,18
02440,B_MOBILE/APP,3
02444,B_MOBILE/APP,2
02448,B_MOBILE/APP,26
02454,B_MOBILE/APP,26
02459,B_MOBILE/APP,7
02466,B_MOBILE/APP,55
02469,B_MOBILE/APP,41
02475,B_MOBILE/APP,25
02479,B_MOBILE/APP,61
02480,B_MOBILE/APP,73
02486,B_MOBILE/APP,1
02491,B_MOBILE/APP,26
02492,B_MOBILE/APP,44
02494,A_MOBILE/APP,15
02497,A_MOBILE/APP,1
02499,A_MOBILE/APP,1
02502,B_MOBILE/APP,10
02507,B_MOBILE/APP,25
02509,B_MOBILE/APP,14
02512,B_MOBILE/APP,14
02515,A_MOBILE/APP,3
02515,B_MOBILE/APP,12
02530,B_MOBILE/APP,17
02535,B_MOBILE/APP,44
02544,A_MOBILE/APP,1
02550,B_MOBILE/APP,33
02554,B_MOBILE/APP,34
02555,B_MOBILE/APP,41
02563,B_MOBILE/APP,56
02564,B_MOBILE/APP,44
02568,B_MOBILE/APP,5
02575,A_MOBILE/APP,14
02576,B_MOBILE/APP,39
02578,A_MOBILE/APP,1
02581,A_MOBILE/APP,3
02584,B_MOBILE/APP,2
02589,B_MOBILE/APP,11
02591,B_MOBILE/APP,4
02596,B_MOBILE/APP,10
02599,B_MOBILE/APP,7
02602,B_MOBILE/APP,29
02603,B_MOBILE/APP,17
02604,A_MOBILE/APP,2
02609,B_MOBILE/APP,20
02616,A_MOBILE/APP,1
02618,B_MOBILE/APP,53
02624,A_MOBILE/APP,8
02627,A_MOBILE/APP,19
02634,A_MOBILE/APP,3
02635,A_MOBILE/APP,3
02635,B_MOBILE/APP,1
02637,B_MOBILE/APP,66
02638,A_MOBILE/APP,4
02646,A_MOBILE/APP,1
02646,B_MOBILE/APP,16
02648,B_MOBILE/APP,13
02650,B_MOBILE/APP,6
02652,B_MOBILE/APP,11
02653,A_MOBILE/APP,2
02653,B_MOBILE/APP,28
02658,B_MOBILE/APP,14
02659,B_MOBILE/APP,14
02670,B_MOBILE/APP,19
02672,B_MOBILE/APP,20
02673,B_MOBILE/APP,24
02674,B_MOBILE/APP,2
02677,A_MOBILE/APP,1
02685,B_MOBILE/APP,34
02687,B_MOBILE/APP,22
02691,A_MOBILE/APP,11
02712,B_MOBILE/APP,4
02714,B_MOBILE/APP,1
02717,A_MOBILE/APP,2
02721,B_MOBILE/APP,7
02723,B_MOBILE/APP,11
02727,B_MOBILE/APP,40
02729,A_MOBILE/APP,1
02730,B_MOBILE/APP,8
02732,B_MOBILE/APP,8
02739,B_MOBILE/APP,38
02744,B_MOBILE/APP,5
02745,B_MOBILE/APP,2
02746,B_MOBILE/APP,4
02749,A_MOBILE/APP,5
02751,B_MOBILE/APP,1
02752,B_MOBILE/APP,5
02754,B_MOBILE/APP,18
02755,B_MOBILE/APP,19
02761,B_MOBILE/APP,1
02765,B_MOBILE/APP,20
02770,B_MOBILE/APP,8
02781,A_MOBILE/APP,8
02781,B_MOBILE/APP,8
02781,D_MOBILE/APP,7
02783,B_MOBILE/APP,15
02785,B_MOBILE/APP,3
02790,B_MOBILE/APP,16
02796,A_MOBILE/APP,19
02796,B_MOBILE/APP,1
02802,B_MOBILE/APP,18
02803,B_MOBILE/APP,16
02815,B_MOBILE/APP,35
02818,A_MOBILE/APP,2
02819,B_MOBILE/APP,3
02822,B_MOBILE/APP,47
02823,A_MOBILE/APP,2
02825,B_MOBILE/APP,13
02826,A_MOBILE/APP,6
02831,B_MOBILE/APP,11
02834,B_MOBILE/APP,4
02835,B_MOBILE/APP,14
02840,B_MOBILE/APP,13
02842,B_MOBILE/APP,8
02846,A_MOBILE/APP,2
02847,B_MOBILE/APP,37
02854,B_MOBILE/APP,16
02858,B_MOBILE/APP,20
02862,A_MOBILE/APP,3
02864,A_MOBILE/APP,45
02867,B_MOBILE/APP,4
02873,B_MOBILE/APP,40
02874,B_MOBILE/APP,17
02875,A_MOBILE/APP,44
02876,B_MOBILE/APP,1
02880,B_MOBILE/APP,11
02881,B_MOBILE/APP,23
02883,B_MOBILE/APP,1
02884,B_MOBILE/APP,45
02890,B_MOBILE/APP,57
02891,B_MOBILE/APP,5
02893,A_MOBILE/APP,5
02893,B_MOBILE/APP,32
02894,B_MOBILE/APP,27
02899,B_MOBILE/APP,1
02900,B_MOBILE/APP,98
02902,B_MOBILE/APP,50
02907,B_MOBILE/APP,8
02908,A_MOBILE/APP,8
02908,B_MOBILE/APP,3
02909,B_MOBILE/APP,72
02912,A_MOBILE/APP,4
02914,B_MOBILE/APP,13
02921,B_MOBILE/APP,23
02922,B_MOBILE/APP,47
02929,B_MOBILE/APP,10
02930,B_MOBILE/APP,2
02933,A_MOBILE/APP,1
02935,B_MOBILE/APP,50
02936,B_MOBILE/APP,1
02943,B_MOBILE/APP,69
02945,B_MOBILE/APP,4
02951,B_MOBILE/APP,6
02952,B_MOBILE/APP,9
02953,A_MOBILE/APP,3
02955,B_MOBILE/APP,1
02956,B_MOBILE/APP,4
02960,B_MOBILE/APP,26
02964,B_MOBILE/APP,7
02966,A_MOBILE/APP,2
02967,B_MOBILE/APP,6
02970,A_MOBILE/APP,7
02971,A_MOBILE/APP,2
02981,B_MOBILE/APP,22
02988,B_MOBILE/APP,52
02990,B_MOBILE/APP,28
02994,A_MOBILE/APP,1
03005,B_MOBILE/APP,29
03008,B_MOBILE/APP,43
03010,A_MOBILE/APP,3
03014,A_MOBILE/APP,11
03015,B_MOBILE/APP,25
03019,B_MOBILE/APP,65
03023,B_MOBILE/APP,54
03026,A_MOBILE/APP,3
03028,B_MOBILE/APP,61
03031,B_MOBILE/APP,3
03032,A_MOBILE/APP,6
03038,A_MOBILE/APP,8
03039,B_MOBILE/APP,11
03047,A_MOBILE/APP,4
03047,B_MOBILE/APP,1
03049,B_MOBILE/APP,13
03052,B_MOBILE/APP,67
03059,B_MOBILE/APP,16
03066,A_MOBILE/APP,8
03072,B_MOBILE/APP,10
03073,B_MOBILE/APP,2
03080,B_MOBILE/APP,20
03083,B_MOBILE/APP,1
03087,B_MOBILE/APP,26
03088,B_MOBILE/APP,7
03091,B_MOBILE/APP,10
03094,B_MOBILE/APP,20
03096,B_MOBILE/APP,21
03099,B_MOBILE/APP,12
03106,B_MOBILE/APP,45
03110,B_MOBILE/APP,46
03113,A_MOBILE/APP,7
03113,B_MOBILE/APP,2
03118,B_MOBILE/APP,2
03127,B_MOBILE/APP,4
03128,A_MOBILE/APP,3
03131,B_MOBILE/APP,2
03132,B_MOBILE/APP,17
03133,B_MOBILE/APP,15
03135,A_MOBILE/APP,4
03137,B_MOBILE/APP,71
03147,A_MOBILE/APP,4
03148,B_MOBILE/APP,2
03151,B_MOBILE/APP,15
03153,B_MOBILE/APP,30
03154,B_MOBILE/APP,1
03158,A_MOBILE/APP,19
03163,B_MOBILE/APP,36
03169,B_MOBILE/APP,35
03170,B_MOBILE/APP,36
03171,B_MOBILE/APP,5
03172,B_MOBILE/APP,66
03174,B_MOBILE/APP,19
03178,A_MOBILE/APP,4
03183,B_MOBILE/APP,3
03184,B_MOBILE/APP,16
03185,B_MOBILE/APP,11
03186,B_MOBILE/APP,9
03188,B_MOBILE/APP,7
03189,B_MOBILE/APP,26
03194,B_MOBILE/APP,25
03197,B_MOBILE/APP,4
03200,B_MOBILE/APP,36
03208,A_MOBILE/APP,3
03210,A_MOBILE/APP,2
03210,B_MOBILE/APP,4
03218,B_MOBILE/APP,22
03219,B_MOBILE/APP,7
03227,A_MOBILE/APP,7
03230,B_MOBILE/APP,34
03232,B_MOBILE/APP,18
03233,B_MOBILE/APP,3
03235,B_MOBILE/APP,28
03242,B_MOBILE/APP,1
03243,B_MOBILE/APP,35
03245,B_MOBILE/APP,25
03246,A_MOBILE/APP,2
03248,B_MOBILE/APP,35
03251,B_MOBILE/APP,56
03261,B_MOBILE/APP,25
03264,B_MOBILE/APP,22
03267,B_MOBILE/APP,8
03271,A_MOBILE/APP,1
03271,B_MOBILE/APP,3
03273,B_MOBILE/APP,16
03276,B_MOBILE/APP,9
03280,A_MOBILE/APP,2
03284,B_MOBILE/APP,33
03289,B_MOBILE/APP,3
03292,A_MOBILE/APP,12
03292,B_MOBILE/APP,6
03296,B_MOBILE/APP,3
03299,B_MOBILE/APP,3
03303,B_MOBILE/APP,2
03304,B_MOBILE/APP,24
03316,B_MOBILE/APP,3
03319,B_MOBILE/APP,6
03320,B_MOBILE/APP,1
03321,A_MOBILE/APP,3
03322,B_MOBILE/APP,22
03326,B_MOBILE/APP,53
03330,B_MOBILE/APP,2
03333,B_MOBILE/APP,37
03334,B_MOBILE/APP,21
03335,B_MOBILE/APP,12
03336,A_MOBILE/APP,8
03354,B_MOBILE/APP,2
03358,C_MOBILE/APP,1
03360,B_MOBILE/APP,5
03364,A_MOBILE/APP,1
03366,B_MOBILE/APP,7
03367,B_MOBILE/APP,18
03368,B_MOBILE/APP,26
03369,B_MOBILE/APP,19
03374,B_MOBILE/APP,31
03380,B_MOBILE/APP,39
03382,B_MOBILE/APP,18
03384,A_MOBILE/APP,13
03384,B_MOBILE/APP,19
03388,A_MOBILE/APP,31
03389,B_MOBILE/APP,12
03392,A_MOBILE/APP,3
03392,B_MOBILE/APP,10
03410,B_MOBILE/APP,23
03413,B_MOBILE/APP,40
03415,B_MOBILE/APP,10
03418,A_MOBILE/APP,75
03418,B_MOBILE/APP,10
03420,B_MOBILE/APP,9
03421,B_MOBILE/APP,41
03422,B_MOBILE/APP,25
03427,B_MOBILE/APP,26
03431,B_MOBILE/APP,9
03436,B_MOBILE/APP,5
03439,B_MOBILE/APP,18
03440,B_MOBILE/APP,14
03441,A_MOBILE/APP,11
03444,B_MOBILE/APP,7
03446,B_MOBILE/APP,12
03447,A_MOBILE/APP,72
03447,B_MOBILE/APP,7
03448,B_MOBILE/APP,1
03449,B_MOBILE/APP,5
03451,B_MOBILE/APP,15
03456,B_MOBILE/APP,19
03458,B_MOBILE/APP,9
03468,B_MOBILE/APP,13
03471,B_MOBILE/APP,18
03473,C_MOBILE/APP,1
03474,B_MOBILE/APP,8
03475,B_MOBILE/APP,1
03476,B_MOBILE/APP,24
03478,B_MOBILE/APP,6
03480,B_MOBILE/APP,36
03481,B_MOBILE/APP,11
03482,A_MOBILE/APP,21
03487,B_MOBILE/APP,36
03492,A_MOBILE/APP,36
03493,B_MOBILE/APP,11
03497,A_MOBILE/APP,54
03499,B_MOBILE/APP,1
03503,B_MOBILE/APP,61
03504,A_MOBILE/APP,34
03504,B_MOBILE/APP,8
03506,B_MOBILE/APP,35
03509,B_MOBILE/APP,10
03511,B_MOBILE/APP,63
03512,A_MOBILE/APP,5
03513,B_MOBILE/APP,1
03519,B_MOBILE/APP,22
03522,A_MOBILE/APP,8
03522,B_MOBILE/APP,26
03525,A_MOBILE/APP,12
