partner,cate_1,cate_2,cate_3,cate_2_name,cate_3_name
A,02,0201,A020115,섬유잡화,영플라자(영트랜디)
A,02,0201,A020116,섬유잡화,영플라자(기타)
A,02,0202,A020201,액세서리,선글라스(특정)
A,02,0202,A020202,액세서리,영플라자(패션)
A,02,0202,A020203,액세서리,선글라스(단기행사)
A,02,0202,A020204,액세서리,아이웨어
A,02,0202,A020205,액세서리,헤어
A,02,0202,A020206,액세서리,수입ACC
A,02,0202,A020207,액세서리,헤어ACC
A,02,0202,A020208,액세서리,국산ACC
A,02,0202,A020209,액세서리,14K
A,02,0202,A020210,액세서리,넥타이핀
A,02,0202,A020211,액세서리,기타(가발포장담배연구사진수선)
A,02,0202,A020212,액세서리,영플라자(장신)
A,02,0202,A020213,액세서리,ACC Bloom (1F)
A,02,0202,A020214,액세서리,ACC Bloom (3F)
A,02,0203,A020301,화장품,화장품
A,02,0203,A020302,화장품,기초 화장품
A,02,0203,A020303,화장품,색조 화장품
A,02,0203,A020304,화장품,향수
A,02,0203,A020305,화장품,기타
A,02,0203,A020306,화장품,기초A
A,02,0203,A020307,화장품,영플라자(화장품)
A,02,0203,A020308,화장품,영플라자 색조
A,02,0203,A020309,화장품,아울렛(화장품)
A,02,0203,A020310,화장품,아베다스파
A,02,0203,A020311,화장품,라코스메티크
A,02,0203,A020312,화장품,남성 화장품
A,02,0204,A020401,보석,조화
A,02,0204,A020402,보석,보석
A,02,0205,A020501,준보석/시계,시계
A,02,0206,A020601,피혁잡화,네셔널
A,02,0206,A020602,피혁잡화,직수입핸드백
A,02,0206,A020603,피혁잡화,가방
A,02,0206,A020604,피혁잡화,임대
A,02,0206,A020605,피혁잡화,4대 B/D
A,02,0206,A020606,피혁잡화,단기행사
A,02,0206,A020607,피혁잡화,영플라자(핸드백)
A,02,0206,A020608,피혁잡화,Bag&Bag
A,02,0206,A020609,피혁잡화,영플라자(구두)
A,02,0207,A020701,구두,캐릭터 여화
A,02,0207,A020702,구두,구두시즌
A,02,0207,A020703,구두,캐릭터 남화
A,02,0207,A020704,구두,구두단기행사
A,02,0207,A020705,구두,NB 여화
A,02,0207,A020706,구두,shoe`n shoe
A,02,0207,A020707,구두,금강그룹
A,02,0207,A020708,구두,정상구두
A,02,0207,A020709,구두,캐주얼화
A,02,0207,A020710,구두,파크랜드
A,03,0301,A030101,아동,N/B 아동복
A,03,0301,A030102,아동,L/C 아동복
A,03,0301,A030103,아동,수입 아동복
A,03,0301,A030104,아동,고정행사(아동복)
A,03,0301,A030105,아동,아동잡화
A,03,0301,A030106,아동,아동신발
A,03,0301,A030107,아동,단기행사(아동복)
A,03,0301,A030108,아동,키즈
A,03,0301,A030109,아동,유아복
A,03,0301,A030110,아동,유아용품
A,03,0301,A030111,아동,내의
A,03,0301,A030112,아동,완구
A,03,0301,A030113,아동,토들러
A,03,0301,A030114,아동,아동놀이시설
A,04,0402,A040201,캐주얼,영플라자 (올리브핫스텁)
A,04,0402,A040202,캐주얼,영플라자(영캐주얼)
A,04,0402,A040203,캐주얼,영플라자(진/유니)
A,04,0402,A040204,캐주얼,영플라자(이지)
A,04,0402,A040205,캐주얼,영플라자(스트리트)
A,04,0402,A040206,캐주얼,올리브핫스텁
A,04,0402,A040207,캐주얼,영플라자(영캐릭터)
A,04,0402,A040208,캐주얼,영플라자(영밸류)
A,04,0402,A040209,캐주얼,영밸류 캐주얼
A,04,0402,A040210,캐주얼,영플라자(쿨캐주얼)
A,04,0402,A040211,캐주얼,영플라자 컬처캐주얼
A,04,0402,A040212,캐주얼,수입브릿지
A,04,0402,A040213,캐주얼,수입캐주얼
A,04,0402,A040214,캐주얼,캐릭터캐주얼
A,04,0402,A040215,캐주얼,수입캐릭터
A,04,0402,A040216,캐주얼,이지캐주얼(행사)
A,04,0402,A040217,캐주얼,스트리트
A,04,0402,A040218,캐주얼,UNIT
A,04,0402,A040219,캐주얼,여성의류
A,04,0402,A040220,캐주얼,영캐주얼
A,04,0402,A040221,캐주얼,영캐주얼행사
A,04,0402,A040222,캐주얼,영 캐릭터
A,04,0402,A040223,캐주얼,영 트렌디
A,04,0402,A040224,캐주얼,global SPA
A,04,0402,A040225,캐주얼,영 컨템포러리
A,04,0402,A040227,캐주얼,유니섹스캐주얼
A,04,0402,A040228,캐주얼,진캐주얼
A,04,0402,A040229,캐주얼,이지캐주얼
A,04,0402,A040230,캐주얼,유니섹스캐주얼행사
A,04,0402,A040231,캐주얼,쿨캐주얼
A,04,0402,A040232,캐주얼,프리미엄진
A,04,0402,A040233,캐주얼,컬처캐주얼
A,04,0402,A040234,캐주얼,GR-8
A,04,0402,A040235,캐주얼,SPACE 5.1
A,04,0402,A040237,캐주얼,이지캐주얼
A,04,0402,A040238,캐주얼,편집샵
A,04,0402,A040239,캐주얼,진스퀘어
A,04,0402,A040240,캐주얼,캐주얼피혁
A,04,0402,A040241,캐주얼,캐주얼단품
A,04,0402,A040242,캐주얼,비아스텔리나
A,04,0402,A040243,캐주얼,라뉴
A,04,0402,A040244,캐주얼,Theory
A,04,0402,A040245,캐주얼,비트윈
A,04,0402,A040246,캐주얼,Taste5.1
A,04,0402,A040247,캐주얼,아울렛
A,04,0402,A040248,캐주얼,영레깅스편집샵
A,04,0402,A040249,캐주얼,global 편집샵
A,04,0402,A040250,캐주얼,KHOS
A,04,0402,A040251,캐주얼,영플라자(KHOS)
A,04,0402,A040252,캐주얼,유니크샵
A,04,0402,A040253,캐주얼,영플라자(영스트리트)
A,04,0402,A040254,캐주얼,영스트리트
A,04,0402,A040255,캐주얼,영플라자(영캐주얼행사)
A,04,0402,A040256,캐주얼,카카오프렌즈
A,04,0402,A040257,캐주얼,케이웨이 상품군
A,04,0402,A040258,캐주얼,까르뜨블랑슈 상품군
A,04,0402,A040259,캐주얼,펜필드 상품군
A,04,0402,A040260,캐주얼,팀버랜드 상품군
A,04,0402,A040261,캐주얼,지오투
A,04,0403,A040301,커리어,Knit & Knot(캐슬플라자)
A,04,0403,A040302,커리어,커리어
A,04,0403,A040303,커리어,커리어 행사
A,04,0403,A040304,커리어,커리어 단독매입
A,04,0403,A040305,커리어,세이브더칠드런
A,04,0403,A040306,커리어,밸류커리어
A,04,0403,A040307,커리어,안토니모라토 상품군
A,04,0403,A040308,커리어,크로커다일 상품군
A,04,0404,A040401,트래디셔널,트래디셔널
A,04,0405,A040501,시티웨어,Knit & Knot
A,04,0405,A040502,시티웨어,엘레강스
A,04,0405,A040503,시티웨어,시니어
A,04,0405,A040504,시티웨어,나파피리상품군
A,04,0406,A040601,란제리/내의,란제리
A,04,0406,A040602,란제리/내의,패션내의
A,04,0406,A040603,란제리/내의,란제리행사
A,04,0406,A040604,란제리/내의,EC(해외잡화)
A,04,0407,A040701,블라우스,더블라우스
A,04,0408,A040801,기타의류,유니폼
A,04,0408,A040802,기타의류,홈웨어
A,04,0408,A040803,기타의류,니트단품
A,04,0409,A040901,디자이너,디자이너
A,04,0409,A040902,디자이너,디자이너부틱
A,04,0409,A040903,디자이너,디자이너캐릭터
A,04,0410,A041001,모피/피혁,모피
A,04,0410,A041002,모피/피혁,피혁
A,04,0410,A041003,모피/피혁,숙녀고정행사
A,04,0410,A041004,모피/피혁,숙녀단기행사
A,05,0501,A050101,남성정장,N.B정장
A,05,0501,A050102,남성정장,직수입정장
A,05,0501,A050103,남성정장,보기밀라노
A,05,0501,A050104,남성정장,정장점행사
A,05,0501,A050105,남성정장,갤럭시
A,05,0501,A050106,남성정장,로가디스
A,05,0501,A050107,남성정장,마에스트로
A,05,0501,A050108,남성정장,캠브리지
A,05,0501,A050109,남성정장,바쏘
A,05,0501,A050110,남성정장,빨질레리
A,05,0501,A050111,남성정장,니나리찌
A,05,0501,A050112,남성정장,닥스
A,05,0501,A050113,남성정장,킨록앤더슨
A,05,0501,A050114,남성정장,다반
A,05,0501,A050115,남성정장,브룩스브라더스
A,05,0501,A050116,남성정장,아울렛엘지패션
A,05,0502,A050201,남성캐주얼,시티캐주얼
A,05,0502,A050202,남성캐주얼,캐주얼토털
A,05,0502,A050203,남성캐주얼,시티정장바지
A,05,0502,A050204,남성캐주얼,시티단기행사
A,05,0502,A050205,남성캐주얼,남성잡화
A,05,0502,A050206,남성캐주얼,Maniz
A,05,0502,A050207,남성캐주얼,갤럭시라이프스타일
A,05,0502,A050208,남성캐주얼,로가디스그린
A,05,0502,A050209,남성캐주얼,일꼬르소
A,05,0502,A050210,남성캐주얼,클럽캠브리지
A,05,0502,A050211,남성캐주얼,프랑코페라로
A,05,0502,A050212,남성캐주얼,인디안
A,05,0502,A050213,남성캐주얼,아날도바시니
A,05,0502,A050214,남성캐주얼,에디션
A,05,0502,A050215,남성캐주얼,벨라모
A,05,0502,A050216,남성캐주얼,프로메이드
A,05,0502,A050217,남성캐주얼,옴스
A,05,0502,A050218,남성캐주얼,피에르가르뎅
A,05,0502,A050219,남성캐주얼,el Trail
A,05,0502,A050220,남성캐주얼,OUTDOOR+1
A,05,0502,A050221,남성캐주얼,Fitness Square
A,05,0502,A050222,남성캐주얼,청백
A,05,0502,A050223,남성캐주얼,다비드컬렉션
A,05,0502,A050224,남성캐주얼,남성잡화ACC2
A,05,0502,A050225,남성캐주얼,el Bicar
A,05,0502,A050226,남성캐주얼,ARCHIV
A,05,0502,A050227,남성캐주얼,MODIUM
A,05,0502,A050228,남성캐주얼,Last Scene
A,05,0502,A050229,남성캐주얼,Leg 5:3:2
A,05,0502,A050230,남성캐주얼,건강수면샵
A,05,0503,A050301,트래디셔널,수입화
A,05,0503,A050302,트래디셔널,어반스타일
A,05,0503,A050303,트래디셔널,트래디셔널Ⅱ
A,05,0503,A050304,트래디셔널,el Travel
A,05,0503,A050305,트래디셔널,빈폴상품군
A,05,0503,A050306,트래디셔널,폴로상품군
A,05,0503,A050307,트래디셔널,라코스테상품군
A,05,0503,A050308,트래디셔널,타미힐피거상품군
A,05,0503,A050309,트래디셔널,헤지스상품군
A,05,0503,A050310,트래디셔널,헨리코튼상품군
A,05,0503,A050311,트래디셔널,올젠상품군
A,05,0503,A050312,트래디셔널,프레드페리상품군
A,05,0504,A050401,교복,교복
A,05,0505,A050501,셔츠,비지니스군
A,05,0505,A050502,셔츠,셔츠고정행사
A,05,0505,A050503,셔츠,셔츠단기행사
A,05,0505,A050504,셔츠,남성잡화 ACC
A,05,0506,A050601,남성 트랜디,트랜디
A,05,0506,A050602,남성 트랜디,컨템포러리
A,05,0506,A050603,남성 트랜디,단기행사
A,05,0506,A050604,남성 트랜디,어반캐주얼
A,05,0506,A050605,남성 트랜디,지이크
A,05,0506,A050606,남성 트랜디,ANDZ
A,05,0506,A050607,남성 트랜디,엠비오
A,05,0506,A050608,남성 트랜디,레노마
A,05,0506,A050609,남성 트랜디,BON
A,05,0506,A050610,남성 트랜디,코모도스퀘어
A,05,0506,A050611,남성 트랜디,지오송지오
A,05,0506,A050612,남성 트랜디,이지오
A,05,0506,A050613,남성 트랜디,워모
A,05,0506,A050614,남성 트랜디,TNGT
A,05,0506,A050615,남성 트랜디,킨록by킨록앤더슨
A,05,0506,A050616,남성 트랜디,TI포맨
A,05,0506,A050617,남성 트랜디,커스텀멜로우
A,05,0506,A050618,남성 트랜디,시리즈
A,05,0506,A050619,남성 트랜디,레드옥스
A,05,0506,A050620,남성 트랜디,S+by트루젠
A,05,0506,A050621,남성 트랜디,리버클래시
A,05,0506,A050622,남성 트랜디,DKNY
A,05,0506,A050623,남성 트랜디,IMZ프리미엄
A,05,0506,A050624,남성 트랜디,반하트디알바자
A,05,0506,A050625,남성 트랜디,솔리드옴므
A,05,0506,A050626,남성 트랜디,질스튜어트NY
A,05,0506,A050627,남성 트랜디,캘빈클라인
A,05,0506,A050628,남성 트랜디,클럽모나코
A,05,0506,A050629,남성 트랜디,타임옴므
A,05,0506,A050630,남성 트랜디,휴고보스
A,05,0506,A050631,남성 트랜디,PAT
A,05,0506,A050632,남성 트랜디,바버 상품군
A,06,0601,A060101,스포츠,백팩편집
A,06,0601,A060102,스포츠,아웃도아
A,06,0601,A060103,스포츠,수영복
A,06,0601,A060104,스포츠,휘트니스
A,06,0601,A060105,스포츠,가 방
A,06,0601,A060106,스포츠,운동용품
A,06,0601,A060107,스포츠,스포츠용품
A,06,0601,A060108,스포츠,스키
A,06,0601,A060109,스포츠,고정행사(레져)
A,06,0601,A060110,스포츠,단기행사(레져)
A,06,0601,A060111,스포츠,선글라스
A,06,0601,A060112,스포츠,시즌수영복
A,06,0601,A060113,스포츠,등산화
A,06,0601,A060114,스포츠,L/C 아웃도어
A,06,0601,A060115,스포츠,직수입 아웃도어
A,06,0601,A060116,스포츠,노스페이스
A,06,0601,A060117,스포츠,에이글
A,06,0601,A060118,스포츠,코오롱스포츠
A,06,0601,A060119,스포츠,K2
A,06,0601,A060120,스포츠,K2플라이워크
A,06,0601,A060121,스포츠,아이더
A,06,0601,A060122,스포츠,블랙야크
A,06,0601,A060123,스포츠,마모트
A,06,0601,A060124,스포츠,마운티아
A,06,0601,A060125,스포츠,컬럼비아
A,06,0601,A060126,스포츠,마운틴하드웨어
A,06,0601,A060127,스포츠,네파
A,06,0601,A060128,스포츠,이젠벅
A,06,0601,A060129,스포츠,밀레
A,06,0601,A060130,스포츠,라푸마
A,06,0601,A060131,스포츠,슈나이더
A,06,0601,A060132,스포츠,머렐
A,06,0601,A060133,스포츠,빈폴아웃도어
A,06,0601,A060134,스포츠,디스커버리
A,06,0601,A060135,스포츠,몽벨
A,06,0601,A060136,스포츠,바이클로
A,06,0601,A060137,스포츠,센터폴
A,06,0601,A060138,스포츠,트렉스타(의)
A,06,0601,A060139,스포츠,트렉스타(신)
A,06,0601,A060140,스포츠,휠라아웃도어
A,06,0601,A060141,스포츠,콜핑
A,06,0601,A060142,스포츠,카리모어
A,06,0601,A060143,스포츠,레드페이스
A,06,0601,A060144,스포츠,에코로바
A,06,0601,A060145,스포츠,웨스트우드
A,06,0601,A060146,스포츠,투스카로라
A,06,0601,A060147,스포츠,아크테릭스
A,06,0601,A060148,스포츠,몬츄라
A,06,0601,A060149,스포츠,피엘라벤
A,06,0601,A060150,스포츠,파타고니아
A,06,0601,A060151,스포츠,살로몬
A,06,0601,A060152,스포츠,오클리
A,06,0601,A060153,스포츠,웍앤톡
A,06,0601,A060154,스포츠,스노우피크
A,06,0601,A060155,스포츠,메아리
A,06,0601,A060156,스포츠,시에라
A,06,0601,A060157,스포츠,볼레
A,06,0601,A060158,스포츠,마모트카페(Rodge201)
A,06,0601,A060159,스포츠,킨
A,06,0601,A060160,스포츠,레저스포츠 단독매입
A,06,0601,A060161,스포츠,와이드앵글
A,06,0601,A060162,스포츠,한성에프아이
A,06,0601,A060163,스포츠,루이까스텔
A,06,0601,A060164,스포츠,프레지던츠골프
A,06,0601,A060165,스포츠,풋조이
A,06,0601,A060166,스포츠,스포츠의류
A,06,0601,A060167,스포츠,스포츠화
A,06,0601,A060168,스포츠,고정행사(스포츠)
A,06,0601,A060169,스포츠,단기행사(스포츠)
A,06,0601,A060170,스포츠,영플라자(의류)
A,06,0601,A060171,스포츠,영플라자(신발)
A,06,0601,A060172,스포츠,나이키의류
A,06,0601,A060173,스포츠,아디다스의류
A,06,0601,A060174,스포츠,나이키화
A,06,0601,A060175,스포츠,아디다스화
A,06,0601,A060176,스포츠,뉴발란스아울렛
A,06,0601,A060177,스포츠,슈즈플러스
A,06,0601,A060178,스포츠,배드민턴스퀘어
A,06,0601,A060179,스포츠,아울렛 제일모직
A,06,0602,A060201,골프용품,N/B골프의류
A,06,0602,A060202,골프용품,L/C골프의류
A,06,0602,A060203,골프용품,직수입 골프의류
A,06,0602,A060204,골프용품,골프용품
A,06,0602,A060205,골프용품,단기행사(골프)
A,06,0602,A060206,골프용품,청백
A,06,0602,A060207,골프용품,아놀드파마
A,06,0602,A060208,골프용품,닥스골프
A,06,0602,A060209,골프용품,헤지스골프
A,06,0602,A060210,골프용품,잭니클라우스
A,06,0602,A060211,골프용품,엘로드
A,06,0602,A060212,골프용품,울시
A,06,0602,A060213,골프용품,레노마골프
A,06,0602,A060214,골프용품,휠라골프
A,06,0602,A060215,골프용품,핑
A,06,0602,A060216,골프용품,팬텀골프
A,06,0602,A060217,골프용품,슈페리어
A,06,0602,A060218,골프용품,이동수골프
A,06,0602,A060219,골프용품,빈폴골프
A,06,0602,A060220,골프용품,엘르골프
A,06,0602,A060221,골프용품,캘러웨이
A,06,0602,A060222,골프용품,타이틀리스트
A,06,0602,A060223,골프용품,김영주골프
A,06,0602,A060224,골프용품,JDX골프
A,06,0602,A060225,골프용품,피가로
A,06,0602,A060226,골프용품,링스
A,06,0602,A060227,골프용품,그린조이
A,06,0602,A060228,골프용품,까스텔바작
A,06,0602,A060229,골프용품,엠유스포츠
A,06,0602,A060230,골프용품,보그너
A,06,0602,A060231,골프용품,아다바트
A,06,0602,A060232,골프용품,먼싱웨어
A,06,0602,A060233,골프용품,르꼬끄골프
A,06,0602,A060234,골프용품,파리게이츠
A,06,0602,A060235,골프용품,블랙앤화이트
A,06,0602,A060236,골프용품,나이키골프
A,06,0602,A060237,골프용품,아디다스골프
A,06,0602,A060238,골프용품,폴로골프
A,06,0602,A060239,골프용품,휴고보스골프
A,06,0602,A060240,골프용품,데상트골프
A,06,0602,A060241,골프용품,글로벌골프프라자
A,06,0602,A060242,골프용품,매일통상
A,06,0602,A060243,골프용품,우리골프
A,06,0602,A060244,골프용품,애드파골프
A,06,0602,A060245,골프용품,갤러리골프
A,06,0602,A060246,골프용품,명성골프
A,06,0602,A060247,골프용품,매직스포츠
A,06,0602,A060248,골프용품,AK골프
A,06,0602,A060249,골프용품,골프존마켓
A,06,0602,A060250,골프용품,애플라인드
A,06,0602,A060251,골프용품,파리게이츠 상품군
A,06,0602,A060252,골프용품,해리토리 상품군
A,07,0701,A070101,대형가전,국산A/V
A,07,0701,A070102,대형가전,국산냉장고.세탁기
A,07,0701,A070103,대형가전,수입냉장고
A,07,0701,A070104,대형가전,수입세탁기
A,07,0701,A070105,대형가전,수입A/V
A,07,0702,A070201,소형가전,가스기기
A,07,0702,A070202,소형가전,수입청소기 외
A,07,0702,A070203,소형가전,기능성소품
A,07,0703,A070301,통신/컴퓨터,MP3 外
A,07,0703,A070302,통신/컴퓨터,컴퓨터
A,07,0703,A070303,통신/컴퓨터,IT 게임기S/W
A,07,0703,A070304,통신/컴퓨터,디지털카메라
A,07,0704,A070401,악기,피아노/악기
A,07,0704,A070402,악기,악기
A,07,0704,A070403,악기,음반
A,07,0705,A070501,전자/전기,명품오디오
A,07,0706,A070601,주방가전,에어컨
A,07,0706,A070602,주방가전,전기밥솥
A,07,0706,A070603,주방가전,수입소형가전
A,07,0706,A070604,주방가전,기타국산소형가전
A,07,0706,A070605,주방가전,김치냉장고
A,07,0706,A070606,주방가전,건강가전
A,07,0706,A070607,주방가전,행사
A,07,0706,A070608,주방가전,에스프레소
A,08,0801,A080101,명품,갤러리
A,08,0801,A080102,명품,수입잡화
A,08,0801,A080103,명품,수입의류
A,08,0801,A080104,명품,직수입
A,08,0801,A080105,명품,잡화멀티샵
A,08,0801,A080106,명품,명품잡화
A,08,0801,A080107,명품,명품잡화보석
A,08,0801,A080108,명품,명품기타
A,08,0801,A080109,명품,명품잡화행사
A,08,0801,A080110,명품,디자이너
A,08,0801,A080111,명품,어덜트
A,08,0801,A080112,명품,컨템포러리
A,08,0801,A080113,명품,명품남성
A,08,0801,A080114,명품,명품의류행사
A,08,0801,A080115,명품,명품의류기타
A,08,0801,A080116,명품,명품시계기타
A,08,0801,A080117,명품,명품보석
A,08,0801,A080118,명품,힐앤토트
A,08,0801,A080119,명품,주얼리멀티
A,08,0801,A080120,명품,명품멀티기타
A,08,0801,A080121,명품,엘리든
A,08,0801,A080122,명품,global 편집샵
A,08,0801,A080123,명품,남성해외패션
A,08,0801,A080124,명품,갤러리
A,08,0801,A080125,명품,어덜트
A,09,0901,A090101,주방용품,수입주방
A,09,0901,A090102,주방용품,주방잡화
A,09,0901,A090103,주방용품,수      저
A,09,0901,A090104,주방용품,국산주방
A,09,0901,A090105,주방용품,주방단기행사
A,09,0901,A090106,주방용품,임      대
A,09,0901,A090107,주방용품,휴모니아
A,09,0901,A090108,주방용품,주방 단독매입
A,09,0901,A090109,주방용품,토탈리빙
A,09,0901,A090110,주방용품,한샘
A,09,0902,A090201,문구/팬시,서적
A,09,0902,A090202,문구/팬시,필기류
A,09,0903,A090301,생활잡화,생화
A,09,0903,A090302,생활잡화,이미용
A,09,0903,A090303,생활잡화,캔들디퓨져
A,09,0903,A090304,생활잡화,타월
A,09,0903,A090305,생활잡화,욕실용품
A,09,0903,A090306,생활잡화,매트
A,09,0903,A090307,생활잡화,장식소품
A,09,0903,A090308,생활잡화,토탈데코
A,09,0903,A090309,생활잡화,그림
A,09,0903,A090310,생활잡화,단기행사
A,09,0903,A090311,생활잡화,소품가구
A,09,0903,A090312,생활잡화,기능성침대
A,09,0904,A090401,식기,크리스탈
A,09,0904,A090402,식기,그라스
A,09,0904,A090403,식기,국산도자기
A,09,0904,A090404,식기,수입도자기
